Table name：,expenses,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
No.,Name,Type,PK,FK,Nullable,Unique,Default,Index,FK constraint,Composite Unique,Check Constraint,Description
1,id,uuid,Y,,N,,gen_random_uuid(),,,,,
2,account_book_id,uuid,,Y,N,,,Y,account_books(id) ON DELETE CASCADE,,,
3,user_id,uuid,,Y,Y,,,Y,users(id) ON DELETE SET NULL,,,NULL only when user is hard deleted
4,category_id,uuid,,Y,N,,,Y,expense_categories(id) ON DELETE RESTRICT,,,
5,expense_type,text,,,N,,,,,,"(expense_type IN ('normal', 'merged_parent') AND parent_id IS NULL) OR  (expense_type = 'merged_child' AND parent_id IS NOT NULL)",
6,parent_id,uuid,,Y,Y,,,Y,expenses(id) ON DELETE CASCADE,,,
7,name,text,,,N,,,,,,,
8,description,text,,,Y,,,,,,,
9,original_amount,"numeric(12,2)	",,,N,,,,,,,
10,original_currency,varchar(3),,,N,,,,,,original_currency ~ '^[A-Z]{3}$',
11,exchange_rate_used,"numeric(12,6)	",,,N,,,,,,,
12,converted_amount,"numeric(12,2)	",,,N,,,,,,,
13,spent_at,DATE,,,N,,CURRENT_DATE,,,,,
14,created_at,timestamptz,,,N,,now(),,,,,
15,updated_at,timestamptz,,,N,,now(),,,,,
16,deleted_at,timestamptz,,,Y,,NULL,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
other:,,,,,,,,,,,,
"CREATE INDEX idx_expenses_account_book_id_expense_type_spent_at ON expenses(account_book_id, expense_type, spent_at);",,,,,,,,,,,,
