aac85a07-80a4-4431-a483-1f8fd2b5f9d4,CNY,JPY,18.173724,2022-03-05,2026-04-28 01:30:05.930045+09
e07fd5e8-0134-4699-8f7b-5c797518c62d,JPY,CNY,0.043408,2026-04-02,2026-04-28 00:50:32.490887+09
69d4623b-9fdc-4493-945f-5553a66ea804,JPY,CNY,0.043259,2026-04-03,2026-04-28 00:50:32.491658+09
99ead901-8df2-49ad-b509-ad41815db75a,JPY,USD,0.006272,2026-04-03,2026-04-28 00:50:32.491658+09
409e8586-099e-4307-9114-d08adf64da32,JPY,CNY,0.050975,2022-05-01,2026-04-28 00:54:22.843355+09
64e7964c-944c-4abb-9e15-df26d8f68ec8,JPY,USD,0.007686,2022-05-01,2026-04-28 00:54:22.843355+09
d9c77ffc-f4ac-431b-9482-b96cd2f151e5,JPY,CNY,0.051018,2022-05-02,2026-04-28 00:54:22.847605+09
a6b819e7-c728-4fd5-9ae4-f793450c5931,JPY,USD,0.007683,2022-05-02,2026-04-28 00:54:22.847605+09
18a476ce-8ca5-4da5-a65c-b4aa7a7dd94f,JPY,CNY,0.051033,2022-05-03,2026-04-28 00:54:22.84889+09
61c68dc5-4f8d-4f0f-b377-f0914810ef72,JPY,USD,0.007687,2022-05-03,2026-04-28 00:54:22.84889+09
fcf9d2aa-6a83-4e3a-b3b5-73c126d268fd,JPY,CNY,0.050960,2022-05-04,2026-04-28 00:54:22.84984+09
82c8a017-f40c-4d76-990f-13f42ed65e9c,JPY,USD,0.007690,2022-05-04,2026-04-28 00:54:22.84984+09
2b0f7c29-0b8f-47ca-9a9e-6dabc1645d0d,JPY,CNY,0.051076,2022-05-05,2026-04-28 00:54:22.851351+09
0be42cde-ed82-40fb-81bf-2ce65069465a,JPY,USD,0.007707,2022-05-05,2026-04-28 00:54:22.851351+09
e96c332a-b451-409e-a66a-d64d5c767b73,JPY,CNY,0.051188,2022-05-06,2026-04-28 00:54:22.852222+09
f0867efa-f410-4f0c-830d-3f239ac98c7c,JPY,USD,0.007678,2022-05-06,2026-04-28 00:54:22.852222+09
03af6924-4fc8-4265-a992-a60f93d6c820,JPY,CNY,0.051270,2022-05-07,2026-04-28 00:54:22.853452+09
563ad360-6dbe-4eee-92c1-e018a12ba130,JPY,USD,0.007661,2022-05-07,2026-04-28 00:54:22.853452+09
025ac4fc-b5cf-41ac-850e-e9c5c5d5c375,JPY,CNY,0.051316,2022-05-08,2026-04-28 00:54:22.854619+09
51716a9a-f55a-46ee-9bc9-7fe2662f3311,JPY,USD,0.007654,2022-05-08,2026-04-28 00:54:22.854619+09
